,Student,Employment,UndergradMajor,DevType,YearsCoding,YearsCodingProf,ConvertedSalary,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,LanguageWorkedWith,Gender,Age,RaceEthnicity
38202,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Designer;Front-end developer;Full-stack developer,30 or more years,30 or more years,155000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;TypeScript;CSS,Male,55 - 64 years old,White or of European descent
38210,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Engineering manager,18-20 years,15-17 years,253390.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,C++;C#;Java;Python,Male,35 - 44 years old,White or of European descent
38285,No,Employed full-time,"Information systems, information technology, or system administration",System administrator,15-17 years,15-17 years,88119.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology,I already had a full-time job as a developer when I began the program,Assembly;C;Java;Cobol,Male,35 - 44 years old,White or of European descent
38487,No,Employed full-time,"A health science (ex. nursing, pharmacy, radiology)",Full-stack developer;Mobile developer,18-20 years,3-5 years,76369.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",One to three months,C#;JavaScript;Lua;Rust;HTML;CSS;Bash/Shell,Male,45 - 54 years old,White or of European descent
38563,"Yes, full-time",Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Desktop or enterprise applications developer,0-2 years,0-2 years,140000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Immediately after graduating,C++,Male,25 - 34 years old,East Asian
38676,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Full-stack developer,30 or more years,30 or more years,102000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;HTML;CSS,Male,45 - 54 years old,Hispanic or Latino/Latina
38745,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;DevOps specialist;Engineering manager,24-26 years,18-20 years,122422.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;Python;SQL;Bash/Shell,Male,35 - 44 years old,White or of European descent
38767,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer,9-11 years,9-11 years,111963.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;Scala;TypeScript,Male,25 - 34 years old,South Asian
38780,No,Employed full-time,"Information systems, information technology, or system administration","Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;QA or test developer;System administrator",24-26 years,24-26 years,155000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;The technology’s online help system",I already had a full-time job as a developer when I began the program,C++;C#;Erlang;F#;JavaScript;Python;R;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,35 - 44 years old,"Native American, Pacific Islander, or Indigenous Australian"
38794,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Full-stack developer,15-17 years,15-17 years,70841.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;Cobol;CSS,Male,45 - 54 years old,Hispanic or Latino/Latina
38803,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,6-8 years,6-8 years,115000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C;Go;Java;JavaScript;Scala;Bash/Shell,Male,25 - 34 years old,Hispanic or Latino/Latina
38836,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Mobile developer,27-29 years,18-20 years,77104.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;SQL;Kotlin;HTML,Male,35 - 44 years old,White or of European descent
38936,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,6-8 years,3-5 years,25476.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
38946,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Mobile developer,3-5 years,3-5 years,110000.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology",Four to six months,Java;Objective-C;Swift,Female,25 - 34 years old,White or of European descent
38949,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer;QA or test developer,12-14 years,3-5 years,33657.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Four to six months,JavaScript;HTML;CSS,Male,35 - 44 years old,White or of European descent
38951,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer,6-8 years,0-2 years,34269.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Immediately after graduating,PHP,Male,25 - 34 years old,White or of European descent
38966,No,Employed full-time,"Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer;Engineering manager;Full-stack developer;Mobile developer,24-26 years,24-26 years,145000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,Java;JavaScript;Objective-C;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,Male,45 - 54 years old,White or of European descent
39017,No,Employed full-time,"A natural science (ex. biology, chemistry, physics)",Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer,9-11 years,6-8 years,55187.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,JavaScript;Python;R;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
39031,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer,24-26 years,12-14 years,77786.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",I already had a full-time job as a developer when I began the program,Java;Python;Bash/Shell,Male,35 - 44 years old,Middle Eastern;White or of European descent
39051,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Full-stack developer;Product manager,18-20 years,18-20 years,48955.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,JavaScript;PHP;SQL;HTML;CSS,Male,35 - 44 years old,Hispanic or Latino/Latina;White or of European descent
39067,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,3-5 years,3-5 years,86120.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
39079,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Back-end developer,3-5 years,0-2 years,78300.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",Less than a month,CoffeeScript;JavaScript;Ruby;HTML;CSS,Female,25 - 34 years old,White or of European descent
39115,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Desktop or enterprise applications developer;Full-stack developer,12-14 years,12-14 years,80776.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;TypeScript;HTML;CSS,Male,35 - 44 years old,White or of European descent
39121,No,Employed full-time,Mathematics or statistics,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Mobile developer,18-20 years,18-20 years,53076.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Assembly;C;C++;Java;JavaScript;Objective-C;Python;Bash/Shell,Male,35 - 44 years old,White or of European descent
39122,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,88000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Immediately after graduating,JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
39151,"Yes, part-time",Employed full-time,"Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer,6-8 years,3-5 years,10958.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",One to three months,C;C++;SQL,Male,25 - 34 years old,East Asian
39183,No,Employed full-time,"Computer science, computer engineering, or software engineering",Designer;Desktop or enterprise applications developer;Front-end developer;Mobile developer,6-8 years,6-8 years,11748.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;HTML;CSS,Male,25 - 34 years old,White or of European descent
39184,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Mobile developer,6-8 years,3-5 years,58746.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,Java;Ruby;SQL;Swift;Kotlin,Male,25 - 34 years old,White or of European descent
39187,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Front-end developer;Full-stack developer,0-2 years,0-2 years,120000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",One to three months,Java;JavaScript;Python;R;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
39239,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,3-5 years,3-5 years,6948.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;SQL;HTML;CSS,Male,25 - 34 years old,East Asian
39245,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer,6-8 years,0-2 years,70000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",One to three months,C#;JavaScript;SQL;HTML;CSS,Male,35 - 44 years old,Black or of African descent
39281,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer,15-17 years,9-11 years,64284.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;TypeScript;CSS,Male,25 - 34 years old,White or of European descent
39326,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Front-end developer;Full-stack developer,0-2 years,0-2 years,80000.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,JavaScript;Python;Ruby;HTML;CSS,Male,25 - 34 years old,White or of European descent
39342,No,Employed full-time,"Computer science, computer engineering, or software engineering",Mobile developer,6-8 years,3-5 years,10958.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Assembly;C;Java;SQL,Female,18 - 24 years old,East Asian
39432,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Data or business analyst,6-8 years,3-5 years,37428.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,Python;R;SQL;VBA;Bash/Shell,Male,25 - 34 years old,White or of European descent
39435,No,Employed part-time,"A natural science (ex. biology, chemistry, physics)",Back-end developer;Educator or academic researcher;Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,58600.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Six months to a year,JavaScript;PHP;Python;R;HTML;CSS,Male,45 - 54 years old,White or of European descent
39503,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer,12-14 years,12-14 years,120000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;Ruby;SQL;Kotlin;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
39507,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",DevOps specialist,3-5 years,3-5 years,110000.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",One to three months,JavaScript;Python;Bash/Shell,Male,25 - 34 years old,White or of European descent
39564,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,115500.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,One to three months,Go;Groovy;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
39602,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer,9-11 years,6-8 years,39552.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Immediately after graduating,C#;JavaScript;PHP;SQL;HTML;CSS,Male,25 - 34 years old,White or of European descent
39628,"Yes, part-time",Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer,9-11 years,6-8 years,27900.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Longer than a year,C;Java;JavaScript;SQL;TypeScript;HTML;CSS,Male,35 - 44 years old,White or of European descent
39636,"Yes, part-time",Employed part-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Student,3-5 years,0-2 years,7140.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,C;Java;PHP;Python;SQL;HTML;CSS,Male,18 - 24 years old,Hispanic or Latino/Latina
39697,No,Employed full-time,"Fine arts or performing arts (ex. graphic design, music, studio art)",Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,62000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Immediately after graduating,C#;JavaScript;Python;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
39768,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Front-end developer,9-11 years,3-5 years,23352.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Haskell;JavaScript;Matlab;Python;SQL;HTML;CSS;Bash/Shell,Male,18 - 24 years old,White or of European descent
39877,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Data scientist or machine learning specialist;Database administrator,6-8 years,3-5 years,47500.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology,I already had a full-time job as a developer when I began the program,Perl;Python;SQL;Bash/Shell,Male,35 - 44 years old,White or of European descent
39896,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;Full-stack developer,3-5 years,0-2 years,44287.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;The technology’s online help system",One to three months,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,Hispanic or Latino/Latina
39941,"Yes, part-time",Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,31596.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",One to three months,C#;JavaScript;SQL;VB.NET;HTML;CSS,Male,18 - 24 years old,White or of European descent
39982,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer,12-14 years,12-14 years,476650.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;Swift;HTML;CSS,Male,35 - 44 years old,White or of European descent
